country,last_update,url,league_code,season_code,file_code,file_name
England,04/03/19,http://www.football-data.co.uk/mmz4281/9495/E3.csv,E3,9495,E3_9495,C:/R Projects/football-data/raw_data/E3_9495.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9394/E0.csv,E0,9394,E0_9394,C:/R Projects/football-data/raw_data/E0_9394.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9394/E1.csv,E1,9394,E1_9394,C:/R Projects/football-data/raw_data/E1_9394.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9394/E2.csv,E2,9394,E2_9394,C:/R Projects/football-data/raw_data/E2_9394.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9394/E3.csv,E3,9394,E3_9394,C:/R Projects/football-data/raw_data/E3_9394.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1819/SC0.csv,SC0,1819,SC0_1819,C:/R Projects/football-data/raw_data/SC0_1819.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1819/SC1.csv,SC1,1819,SC1_1819,C:/R Projects/football-data/raw_data/SC1_1819.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1819/SC2.csv,SC2,1819,SC2_1819,C:/R Projects/football-data/raw_data/SC2_1819.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1819/SC3.csv,SC3,1819,SC3_1819,C:/R Projects/football-data/raw_data/SC3_1819.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1718/SC0.csv,SC0,1718,SC0_1718,C:/R Projects/football-data/raw_data/SC0_1718.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1718/SC1.csv,SC1,1718,SC1_1718,C:/R Projects/football-data/raw_data/SC1_1718.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1718/SC2.csv,SC2,1718,SC2_1718,C:/R Projects/football-data/raw_data/SC2_1718.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1718/SC3.csv,SC3,1718,SC3_1718,C:/R Projects/football-data/raw_data/SC3_1718.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1617/SC0.csv,SC0,1617,SC0_1617,C:/R Projects/football-data/raw_data/SC0_1617.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1617/SC1.csv,SC1,1617,SC1_1617,C:/R Projects/football-data/raw_data/SC1_1617.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1617/SC2.csv,SC2,1617,SC2_1617,C:/R Projects/football-data/raw_data/SC2_1617.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1617/SC3.csv,SC3,1617,SC3_1617,C:/R Projects/football-data/raw_data/SC3_1617.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1516/SC0.csv,SC0,1516,SC0_1516,C:/R Projects/football-data/raw_data/SC0_1516.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1516/SC1.csv,SC1,1516,SC1_1516,C:/R Projects/football-data/raw_data/SC1_1516.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1516/SC2.csv,SC2,1516,SC2_1516,C:/R Projects/football-data/raw_data/SC2_1516.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1516/SC3.csv,SC3,1516,SC3_1516,C:/R Projects/football-data/raw_data/SC3_1516.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1415/SC0.csv,SC0,1415,SC0_1415,C:/R Projects/football-data/raw_data/SC0_1415.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1415/SC1.csv,SC1,1415,SC1_1415,C:/R Projects/football-data/raw_data/SC1_1415.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1415/SC2.csv,SC2,1415,SC2_1415,C:/R Projects/football-data/raw_data/SC2_1415.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1415/SC3.csv,SC3,1415,SC3_1415,C:/R Projects/football-data/raw_data/SC3_1415.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1314/SC0.csv,SC0,1314,SC0_1314,C:/R Projects/football-data/raw_data/SC0_1314.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1314/SC1.csv,SC1,1314,SC1_1314,C:/R Projects/football-data/raw_data/SC1_1314.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1314/SC2.csv,SC2,1314,SC2_1314,C:/R Projects/football-data/raw_data/SC2_1314.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1314/SC3.csv,SC3,1314,SC3_1314,C:/R Projects/football-data/raw_data/SC3_1314.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1213/SC0.csv,SC0,1213,SC0_1213,C:/R Projects/football-data/raw_data/SC0_1213.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1213/SC1.csv,SC1,1213,SC1_1213,C:/R Projects/football-data/raw_data/SC1_1213.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1213/SC2.csv,SC2,1213,SC2_1213,C:/R Projects/football-data/raw_data/SC2_1213.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1213/SC3.csv,SC3,1213,SC3_1213,C:/R Projects/football-data/raw_data/SC3_1213.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1112/SC0.csv,SC0,1112,SC0_1112,C:/R Projects/football-data/raw_data/SC0_1112.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1112/SC1.csv,SC1,1112,SC1_1112,C:/R Projects/football-data/raw_data/SC1_1112.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1112/SC2.csv,SC2,1112,SC2_1112,C:/R Projects/football-data/raw_data/SC2_1112.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1112/SC3.csv,SC3,1112,SC3_1112,C:/R Projects/football-data/raw_data/SC3_1112.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1011/SC0.csv,SC0,1011,SC0_1011,C:/R Projects/football-data/raw_data/SC0_1011.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1011/SC1.csv,SC1,1011,SC1_1011,C:/R Projects/football-data/raw_data/SC1_1011.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1011/SC2.csv,SC2,1011,SC2_1011,C:/R Projects/football-data/raw_data/SC2_1011.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/1011/SC3.csv,SC3,1011,SC3_1011,C:/R Projects/football-data/raw_data/SC3_1011.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0910/SC0.csv,SC0,0910,SC0_0910,C:/R Projects/football-data/raw_data/SC0_0910.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0910/SC1.csv,SC1,0910,SC1_0910,C:/R Projects/football-data/raw_data/SC1_0910.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0910/SC2.csv,SC2,0910,SC2_0910,C:/R Projects/football-data/raw_data/SC2_0910.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0910/SC3.csv,SC3,0910,SC3_0910,C:/R Projects/football-data/raw_data/SC3_0910.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0809/SC0.csv,SC0,0809,SC0_0809,C:/R Projects/football-data/raw_data/SC0_0809.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0809/SC1.csv,SC1,0809,SC1_0809,C:/R Projects/football-data/raw_data/SC1_0809.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0809/SC2.csv,SC2,0809,SC2_0809,C:/R Projects/football-data/raw_data/SC2_0809.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0809/SC3.csv,SC3,0809,SC3_0809,C:/R Projects/football-data/raw_data/SC3_0809.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0708/SC0.csv,SC0,0708,SC0_0708,C:/R Projects/football-data/raw_data/SC0_0708.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0708/SC1.csv,SC1,0708,SC1_0708,C:/R Projects/football-data/raw_data/SC1_0708.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0708/SC2.csv,SC2,0708,SC2_0708,C:/R Projects/football-data/raw_data/SC2_0708.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0708/SC3.csv,SC3,0708,SC3_0708,C:/R Projects/football-data/raw_data/SC3_0708.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0607/SC0.csv,SC0,0607,SC0_0607,C:/R Projects/football-data/raw_data/SC0_0607.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0607/SC1.csv,SC1,0607,SC1_0607,C:/R Projects/football-data/raw_data/SC1_0607.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0607/SC2.csv,SC2,0607,SC2_0607,C:/R Projects/football-data/raw_data/SC2_0607.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0607/SC3.csv,SC3,0607,SC3_0607,C:/R Projects/football-data/raw_data/SC3_0607.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0506/SC0.csv,SC0,0506,SC0_0506,C:/R Projects/football-data/raw_data/SC0_0506.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0506/SC1.csv,SC1,0506,SC1_0506,C:/R Projects/football-data/raw_data/SC1_0506.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0506/SC2.csv,SC2,0506,SC2_0506,C:/R Projects/football-data/raw_data/SC2_0506.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0506/SC3.csv,SC3,0506,SC3_0506,C:/R Projects/football-data/raw_data/SC3_0506.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0405/SC0.csv,SC0,0405,SC0_0405,C:/R Projects/football-data/raw_data/SC0_0405.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0405/SC1.csv,SC1,0405,SC1_0405,C:/R Projects/football-data/raw_data/SC1_0405.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0405/SC2.csv,SC2,0405,SC2_0405,C:/R Projects/football-data/raw_data/SC2_0405.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0405/SC3.csv,SC3,0405,SC3_0405,C:/R Projects/football-data/raw_data/SC3_0405.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0304/SC0.csv,SC0,0304,SC0_0304,C:/R Projects/football-data/raw_data/SC0_0304.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0304/SC1.csv,SC1,0304,SC1_0304,C:/R Projects/football-data/raw_data/SC1_0304.csv
Scotland,03/03/19,http://www.football-data.co.uk/mmz4281/0304/SC2.csv,SC2,0304,SC2_0304,C:/R Projects/football-data/raw_data/SC2_0304.csv
